Jahr;Bundesland;Kennzahl;Wirtschaftszweig;Stoffgruppe;Verwendung(t);VerwendungCO2(1000t);Einfuhr(t);EinfuhrCO2(1000t);Ausfuhr(t);AusfuhrCO2(100t)
2023;Baden-Württemberg;WZ08-24;Metallerzeugung und -bearbeitung;Insgesamt;N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-25;Herstellung von Metallerzeugnissen;FKW (Fluorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-25;Herstellung von Metallerzeugnissen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-25;Herstellung von Metallerzeugnissen;H-FCKW (Teilhalog. Fluorchlorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-25;Herstellung von Metallerzeugnissen;Blends;N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-25;Herstellung von Metallerzeugnissen;F-IKW (Fluoridkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-25;Herstellung von Metallerzeugnissen;H-BKW (Hydrogenierte Bromkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-25;Herstellung von Metallerzeugnissen;H-CKW (Teilchlorierte Kohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-25;Herstellung von Metallerzeugnissen;FBKW (Fluorbromkohlenwasserstoffe (Halone));N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-25;Herstellung von Metallerzeugnissen;H-BCKW (Teilhalog. Bromchlorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-25;Herstellung von Metallerzeugnissen;Insgesamt;N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-26;H.v. DV-Geräten, elektron. u. opt. Erzeugnissen;FKW (Fluorkohlenwasserstoffe);2,69;27,81;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-26;H.v. DV-Geräten, elektron. u. opt. Erzeugnissen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);1,29;9,87;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-26;H.v. DV-Geräten, elektron. u. opt. Erzeugnissen;H-FCKW (Teilhalog. Fluorchlorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-26;H.v. DV-Geräten, elektron. u. opt. Erzeugnissen;Blends;7,79;16,39;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-26;H.v. DV-Geräten, elektron. u. opt. Erzeugnissen;F-IKW (Fluoridkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-26;H.v. DV-Geräten, elektron. u. opt. Erzeugnissen;H-BKW (Hydrogenierte Bromkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-26;H.v. DV-Geräten, elektron. u. opt. Erzeugnissen;H-CKW (Teilchlorierte Kohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-26;H.v. DV-Geräten, elektron. u. opt. Erzeugnissen;FBKW (Fluorbromkohlenwasserstoffe (Halone));N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-26;H.v. DV-Geräten, elektron. u. opt. Erzeugnissen;H-BCKW (Teilhalog. Bromchlorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-26;H.v. DV-Geräten, elektron. u. opt. Erzeugnissen;Insgesamt;11,77;54,07;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-27;Herstellung von elektrischen Ausrüstungen;FKW (Fluorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-27;Herstellung von elektrischen Ausrüstungen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-27;Herstellung von elektrischen Ausrüstungen;H-FCKW (Teilhalog. Fluorchlorkohlenwasserstoffe);N/A;N/A;N/A;N/A;N/A;N/A
2023;Baden-Württemberg;WZ08-27;Herstellung von elektrischen Ausrüstungen;Blends;N/A;N/A;N/A;N/A;N/A;N/A
