Jahr;Bundesland;Kennzahl;Wirtschaftszweig;Stoffgruppe;Verwendung;VerwendungCO2;Einfuhr;EinfuhrCO2;Ausfuhr;AusfuhrCO2
2023;Berlin;;Insgesamt;Blends;43,22;77,96;N/A;N/A;N/A;N/A
2023;Berlin;;Insgesamt;Insgesamt;62,25;96,59;0,15;0,12;N/A;N/A
2023;Brandenburg;WZ08-28;Maschinenbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);0,46;0,59;N/A;N/A;N/A;N/A
2023;Brandenburg;WZ08-28;Maschinenbau;Blends;1,10;2,16;N/A;N/A;N/A;N/A
2023;Brandenburg;WZ08-28;Maschinenbau;Insgesamt;1,55;2,75;N/A;N/A;N/A;N/A
2023;Brandenburg;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);1,56;1,90;N/A;N/A;N/A;N/A
2023;Brandenburg;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Blends;10,70;24,32;N/A;N/A;N/A;N/A
2023;Brandenburg;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Insgesamt;12,27;26,22;N/A;N/A;N/A;N/A
2023;Brandenburg;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);N/A;N/A;0,27;0,29;N/A;N/A
2023;Brandenburg;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;Insgesamt;8,40;8,33;0,27;0,29;N/A;N/A
2023;Brandenburg;;Insgesamt;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);249,18;54,83;N/A;N/A;N/A;N/A
2023;Brandenburg;;Insgesamt;Blends;17,63;38,13;N/A;N/A;N/A;N/A
2023;Brandenburg;;Insgesamt;Insgesamt;266,82;92,96;N/A;N/A;N/A;N/A
2023;Bremen;WZ08-10;Herstellung von Nahrungs- und Futtermitteln;Insgesamt;0,41;1,01;N/A;N/A;N/A;N/A
2023;Bremen;WZ08-28;Maschinenbau;Insgesamt;2,26;4,20;N/A;N/A;N/A;N/A
2023;Bremen;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);1,16;1,45;N/A;N/A;N/A;N/A
2023;Bremen;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Blends;3,86;7,94;N/A;N/A;N/A;N/A
2023;Bremen;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Insgesamt;5,01;9,39;N/A;N/A;N/A;N/A
2023;Bremen;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);1,46;1,49;N/A;N/A;N/A;N/A
2023;Bremen;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;Insgesamt;1,46;1,49;N/A;N/A;N/A;N/A
2023;Bremen;WZ08-50;Schifffahrt;Insgesamt;0,54;0,83;N/A;N/A;N/A;N/A
2023;Bremen;;Insgesamt;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);4,26;5,07;N/A;N/A;N/A;N/A
2023;Bremen;;Insgesamt;Blends;6,95;14,38;N/A;N/A;N/A;N/A
2023;Bremen;;Insgesamt;Insgesamt;11,20;19,45;N/A;N/A;N/A;N/A
2023;Hamburg;WZ08-28;Maschinenbau;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);15,54;14,81;N/A;N/A;N/A;N/A
2023;Hamburg;WZ08-28;Maschinenbau;Blends;17,52;29,06;N/A;N/A;N/A;N/A
2023;Hamburg;WZ08-28;Maschinenbau;Insgesamt;33,06;43,87;N/A;N/A;N/A;N/A
2023;Hamburg;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;H-FKW (Teilhalogenierte Fluorkohlenwasserstoffe);3,57;4,62;N/A;N/A;N/A;N/A
2023;Hamburg;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;Blends;4,50;8,15;N/A;N/A;N/A;N/A
2023;Hamburg;WZ08-33;Reparatur u.Installation von Masch.u.Ausrüstungen;Insgesamt;8,07;12,76;N/A;N/A;N/A;N/A
2023;Hamburg;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Blends;18,80;36,50;N/A;N/A;N/A;N/A
2023;Hamburg;WZ08-43;Vorb.Baustellenarbeiten, Bauinstall., sonst.Ausbau;Insgesamt;24,92;44,09;N/A;N/A;N/A;N/A
2023;Hamburg;WZ08-45;Kfz-Handel, Instandhaltung und Reparatur von Kfz;Insgesamt;10,63;12,63;N/A;N/A;N/A;N/A
2023;Hamburg;WZ08-46;Großhandel (ohne Handel mit Kraftfahrzeugen);Insgesamt;1,43;2,64;N/A;N/A;N/A;N/A
2023;Hamburg;WZ08-86;Gesundheitswesen;Insgesamt;0,96;1,44;N/A;N/A;N/A;N/A
2023;Hamburg;;Insgesamt;Blends;47,85;85,01;N/A;N/A;N/A;N/A
